,label,text
11316,1,hair weave shaved off
7125,1,'game of thrones' fan rewatching past episodes to remind self of what characters' breasts look like
24665,1,"No, the liar is he who claims to follow Jesus Christ, but is the antithesis of his reported teachings. Try looking in the mirror.
I am not lying, therefore I am not a liar, despite what your book of fairytales claims."
12732,0,'lemony snicket' out as wesleyan speaker amid reports of inappropriate comments
22996,1,gary johnson worried he peaking too early after hitting 9% in polls
19787,1,"william barr agrees to release nonverbal, abstract visual representation of mueller report"
13182,1,"What the heck did you have for breakfast today, huh? A bowl of nails and terpentine to wash it down? Talk about a foul mood. You've been to half a dozen threads just this morning launching personal attacks at everybody you come across, and most of them have something to do with 'I'm glad there aren't more people in the world like you,' or 'I hope you're the only ones the terrorists kill so we can get back to making this nation great,' blah blah blah. They invented things like Midol for moods like yours.
Just because someone doesn't agree with you doesn't make them stupid, or misguided, or immoral, or dishonest, or any of the other snipes you've been firing off. Lol, and you're telling me to not throw any hissy fits."
26908,0,sonoma sheriff battles with ice over misinformation on california wildfires
6406,1,22-year-old fuck complains of age discrimination
3132,1,Someone's help? Whoever are you talking about? It wasn't any much work at all. A simple search. I'm pointing it out to you in the hopes that you'll get some new material. That and the fact I'd rather not see you banned.
25772,0,"""Lottery""? I hope you don't mean that it is completely random in all cases...
 
 Note: did you notice that this was the position you were arguing against in the previous sentence?"
1884,1,"Obviously, your family loses all its marbles past the age of 40 and you have never known any wise old people."
426,0,the gop would probably have a better chance of winning without trump
25890,1,tbs once again leads all networks in leslie nielsen ratings
3124,1,lovebird windshield wipers gleefully chasing each other through rain
14802,1,cherokee nation makes headlines as fraction of actress's bloodline
14841,1,"'hold still,' says eric trump swinging sword at don jr. trapped inside knight's armor"
13838,1,congress repairs to parlor to hear rep. carolyn maloney play the recorder
4460,1,arianna huffington has webcam implanted in forehead
17305,0,microsoft wants to let you know when the feds are snooping in your email
23890,1,I'd argue that the woman wants to control who lives or dies. That's scarier to me. emoticonXRolleyes
14483,1,pepsi ceo's wife buys coke when she's mad at him
17188,0,"The 2020 Global Food Outlook answers this as it says that a greater demand for vegetables will correspond with higher prices of vegetables in developing countries. Many articles acknowledge that starving people cannot afford much of any of the food for sale around them, and a greater demand for meat does not necesarily mean a decrease in demand for vegetables as populations grow globally. Since increasing meat consumption is irrational because it will not feed the poor and it will do even more damage to the environment, again, the solution proposed is to support the initiative for developing nations to become more self-sufficient in growing plant foods for themselves."
6469,1,dog in purse stares longingly at dog in yard
7010,1,new employee still eager enough to pick up slack for coworkers
10542,0,"our homes, ourselves and creating the perfect stress-free environment"
3372,0,adorable panda cub bei bei makes a very sleepy public debut
11808,0,"Pandion has already pointed out that this isn't a theory, it's a mode of wishful thinking. More damagingly, however, if you examine it for more than a moment it doesn't even fulfill the role you give it. You say 'many things in nature make no sense without God', but how do god's origins and nature make sense? Where did he/she/it spring from? All you do by invoking god as an 'explanation' is push the problems one step further back. The god hypothesis may look like an explanation, but it is not."
6514,0,For once I agree with you. Your wrong on your thoughts and views with evolution but your right in saying that abortion is wrong.
27666,1,"That's quite a leap, even for you. How did you know that the officiers were pro-life? Or that any pro-life people would condone the officiers' behavior in this instance.   I certainly think it was excessive. I guess I must not be pro-life by your illogic."
4356,0,the true cost of turning on the lights
25831,0,south china sea: philippines running out of options
24702,1,"'everything's $10,000' chain goes out of business"
11650,1,rick steves cleaned out by gypsies
5586,0,james franco skips award ceremony after sexual misconduct accusations
12680,1,encouraging report from radical extremist think tank finds america no safer since 9/11
19491,1,elderly man hailed as alert
8429,0,'goodell must go' banners flying over nfl stadiums
17614,0,living life with mindfulness and love
25454,0,baha'i prayer and quotes about america
1992,1,national board of steve jaskoviak requests $10 billion bailout
17282,1,mom hates bad guy in movie
2552,1,spacecraft travel from all over galaxy to honor end of opportunity rover's life
17649,0,"blowing out birthday candles increases cake bacteria by 1,400 percent"
648,0,"in argentina, the supreme court spurs national outrage with leniency for a 'dirty war' criminal"
3236,0,adopted child doe and amended birth certificates
25353,1,report: some people live in pennsylvania
16711,0,nevada downpour caused over $1 million in damage
